Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode
PAYMENT,2,4,63.0,179.99,Advance shipping,0,48,Water Sports,East Lansing,EE. UU.,Mary,5739,Palmer,Consumer,MI,1828 Iron Goose Mount,48823.0,7,Fan Shop,42.77295685,-84.43538666,LATAM,São Gonçalo,Brasil,5739,20.0,0.1,199.99,0.35,1,199.99,179.99,63.0,South America,Río de Janeiro,PENDING_PAYMENT,Pelican Sunstream 100 Kayak,199.99,Standard Class
PAYMENT,2,4,7.98,30.71,Advance shipping,0,37,Electronics,Bakersfield,EE. UU.,Kathleen,1440,Watson,Consumer,CA,9222 Green Round,93309.0,6,Outdoors,35.34789276,-119.0540085,Pacific Asia,Mackay,Australia,1440,1.28,0.04,31.99,0.26,1,31.99,30.71,7.98,Oceania,Queensland,PENDING_PAYMENT,Bridgestone e6 Straight Distance NFL Carolina,31.99,Standard Class
TRANSFER,4,4,30.74,81.97,Shipping on time,0,46,Indoor/Outdoor Games,Chicago,EE. UU.,Amber,8312,Farrell,Home Office,IL,3282 Indian Hollow,60622.0,7,Fan Shop,41.895607,-87.70847321,Europe,El Ejido,España,8312,17.99,0.18,49.98,0.38,2,99.96,81.97,30.74,Southern Europe,Andalucía,PENDING,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
PAYMENT,6,4,66.9,145.44,Late delivery,1,46,Indoor/Outdoor Games,Summerville,EE. UU.,Vincent,8692,Smith,Consumer,SC,567 Green Jetty,29483.0,7,Fan Shop,33.01840973,-80.14975739,Pacific Asia,Yogyakarta,Indonesia,8692,4.5,0.03,49.98,0.46,3,149.94,145.44,66.9,Southeast Asia,Yogyakarta,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,0,0,16.39,48.48,Shipping on time,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Amber,4092,Williams,Consumer,PR,6889 Velvet Impasse,725.0,7,Fan Shop,18.29870987,-66.37062073,Europe,Milan,Italia,4092,1.5,0.03,49.98,0.34,1,49.98,48.48,16.39,Southern Europe,Lombardía,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Same Day
PAYMENT,4,4,-431.96,269.97,Shipping on time,0,9,Cardio Equipment,Caguas,Puerto Rico,George,7151,Henry,Consumer,PR,1942 Grand Oak Lane,725.0,3,Footwear,18.24736404,-66.3705368,Pacific Asia,Hastings,Nueva Zelanda,7151,30.0,0.1,99.99,-1.6,3,299.97,269.97,-431.96,Oceania,Hawke's Bay,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class
PAYMENT,2,1,53.75,191.97,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Mary,2929,Smith,Consumer,PR,4715 Harvest Spring Vista,725.0,4,Apparel,18.27438927,-66.37052155,Africa,Zinder,Níger,2929,47.99,0.2,59.99,0.28,4,239.96,191.97,53.75,West Africa,Zinder,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,First Class
DEBIT,4,4,25.22,97.0,Shipping on time,0,24,Women's Apparel,New York,EE. UU.,Mary,1645,Rivera,Home Office,NY,4061 Rocky Circle,10009.0,5,Golf,40.72668076,-73.97971344,Africa,Makurdi,Nigeria,1645,3.0,0.03,50.0,0.26,2,100.0,97.0,25.22,West Africa,Benue,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
TRANSFER,5,4,33.47,107.98,Late delivery,1,17,Cleats,Granada Hills,EE. UU.,Pamela,11154,Dickerson,Home Office,CA,5803 Burning Abbey,91344.0,4,Apparel,34.2639389,-118.4979401,Pacific Asia,Ankara,Turquía,11154,12.0,0.1,59.99,0.31,2,119.98,107.98,33.47,West Asia,Ankara,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
DEBIT,2,4,30.89,128.69,Advance shipping,0,18,Men's Footwear,Chicago,EE. UU.,Daniel,3417,Joseph,Home Office,IL,4516 Dewy Sky Turnabout,60645.0,4,Apparel,41.63134384,-87.5241394,Europe,Madrid,España,3417,1.3,0.01,129.99,0.24,1,129.99,128.69,30.89,Southern Europe,Madrid,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
DEBIT,2,2,20.16,335.98,Shipping on time,0,45,Fishing,San Diego,EE. UU.,Mary,10081,Castillo,Corporate,CA,9900 Hidden Rise Downs,92115.0,7,Fan Shop,32.77627945,-117.1342163,Europe,Dudley,Reino Unido,10081,64.0,0.16,399.98,0.06,1,399.98,335.98,20.16,Northern Europe,Inglaterra,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Second Class
TRANSFER,2,1,56.9,123.7,Late delivery,1,40,Accessories,York,EE. UU.,Mary,5804,Burns,Corporate,PA,560 Sleepy Gate,17404.0,6,Outdoors,39.96332169,-76.74804688,LATAM,Mexico City,México,5804,1.25,0.01,24.99,0.46,5,124.95,123.7,56.9,Central America,Distrito Federal,PROCESSING,Team Golf St. Louis Cardinals Putter Grip,24.99,First Class
DEBIT,2,4,38.7,290.98,Advance shipping,0,43,Camping & Hiking,Caguas,Puerto Rico,Mary,4998,Smith,Consumer,PR,1235 Honey Mews,725.0,7,Fan Shop,18.26036263,-66.37050629,LATAM,Camagüey,Cuba,4998,9.0,0.03,299.98,0.13,1,299.98,290.98,38.7,Caribbean,Camagüey,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class
PAYMENT,4,4,0.84,11.19,Shipping on time,0,74,Toys,Caguas,Puerto Rico,Lynna,19681,Montgomery,Consumer,PR,3688 Thunder Prairie Heights,725.0,7,Fan Shop,18.2882328,-66.03705597,Pacific Asia,Bundaberg,Australia,19681,0.35,0.03,11.54,0.08,1,11.54,11.19,0.84,Oceania,Queensland,PENDING_PAYMENT,Toys ,11.54,Standard Class
TRANSFER,6,4,-5.94,59.39,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Mary,6061,Powell,Corporate,PR,4204 Iron Hollow,725.0,4,Apparel,18.21950722,-66.37056732,Africa,Bukavu,República Democrática del Congo,6061,0.6,0.01,59.99,-0.1,1,59.99,59.39,-5.94,Central Africa,Kivu del Sur,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
PAYMENT,5,4,-67.4,43.48,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Mary,8502,Eaton,Corporate,PR,6132 Wishing Island Avenue,725.0,7,Fan Shop,18.23153114,-66.3705368,USCA,Paterson,Estados Unidos,8502,6.5,0.13,49.98,-1.55,1,49.98,43.48,-67.4,East of USA,Nueva Jersey,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,6,4,21.88,128.69,Late delivery,1,18,Men's Footwear,Long Beach,EE. UU.,Mary,1415,Peterson,Corporate,CA,7601 Pleasant Barn Run,90813.0,4,Apparel,33.78245163,-118.1922455,Pacific Asia,Yakarta,Indonesia,1415,1.3,0.01,129.99,0.17,1,129.99,128.69,21.88,Southeast Asia,Yakarta,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
PAYMENT,6,4,5.49,148.44,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Kelly,5715,Smith,Corporate,PR,9623 Stony Bay,725.0,7,Fan Shop,18.2375145,-66.3705368,Europe,Taranto,Italia,5715,1.5,0.01,49.98,0.04,3,149.94,148.44,5.49,Southern Europe,Apulia,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,2,1,-3.16,14.54,Late delivery,1,36,Golf Balls,Las Vegas,EE. UU.,Rose,8366,Smith,Corporate,NV,558 Dewy Promenade,89110.0,6,Outdoors,36.17473602,-115.137146,USCA,New York City,Estados Unidos,8366,0.45,0.03,14.99,-0.22,1,14.99,14.54,-3.16,East of USA,Nueva York,COMPLETE,Hirzl Men's Hybrid Golf Glove,14.99,First Class
CASH,3,4,10.8,40.0,Advance shipping,0,24,Women's Apparel,Caguas,Puerto Rico,Mary,3765,Smith,Consumer,PR,3544 Gentle Concession,725.0,5,Golf,18.28627777,-66.37055206,Pacific Asia,Bandung,Indonesia,3765,10.0,0.2,50.0,0.27,1,50.0,40.0,10.8,Southeast Asia,Java Occidental,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
PAYMENT,2,4,67.57,199.92,Advance shipping,0,46,Indoor/Outdoor Games,Albuquerque,EE. UU.,Mary,3923,King,Consumer,NM,4435 Silent Bear Road,87111.0,7,Fan Shop,35.13623428,-106.5444183,Europe,Kryvyy Rih,Ucrania,3923,49.98,0.2,49.98,0.34,5,249.9,199.92,67.57,Eastern Europe,Dnipropetrovsk,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
PAYMENT,5,4,74.99,299.95,Late delivery,1,17,Cleats,Escondido,EE. UU.,Catherine,8568,Beck,Corporate,CA,3298 Round Creek Expressway,92027.0,4,Apparel,33.13356781,-117.053154,LATAM,Avellaneda,Argentina,8568,0.0,0.0,59.99,0.25,5,299.95,299.95,74.99,South America,Santa Fe,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
